------,Lesson 21
知る,
知らせる,
お知らせ,
知人,
知事,
料理(する),
無理(する),
無理(な),
理由,
ゆう,
地理,
待つ,
期待(する),
き,
招待(する),
しょう,
作る,
作り方,
作家,
作品,
ひん,
作業,
ぎょう,
音,
音楽,
楽しい,
楽しむ,
楽(な),
写す,
写真,
真ん中,
真っ白(な),
好き(な),
友好,
学歴,
履歴書,
り,
歴史,
日本史,
絵画,
絵,
------,Lesson 22
太い,
太る,
太平洋,
大西洋,
西洋,
東洋,
洋食,
九州,
本州,
山,
富士山,
ふ,
じ,
火山,
林,
森林,
川,
アマゾン川,
山川,
多い,
少ない,
少し,
島,
タスマニア島,
広い,
広がる,
広島,
スペイン広場,
広大(な),
------,Lesson 23
春,
青春,
春分の日,
夏,
夏休み,
冷夏,
れい,
秋,
秋分の日,
冬,
春夏秋冬,
暖冬,
だん,
天気,
天ぷら,
雨,
大雨,
雨天,
風,
ベトナム風,
風速,
そく,
強風,
３台,
台所,
台風,
暑い,
むし暑い,
暑中見舞い,
ま,
短い,
短期,
き,
短所,
寒い,
雪,
雪まつり,
新雪,
